# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: ad4f708 (dirty)
# Timestamp: 2026-03-06T18:40:13Z
# N: 10000000  M: 1 (converged=false, min=8, max=1)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
2,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
3,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
4,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
5,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
6,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
7,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
8,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
9,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
10,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0.000000000000000e0,0.0000,0e0,0e0,0e0,0e0,0.000000000000000e0,0.0000,4.55,6.54,7.71,4.45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0e0,0e0
