# N: 10000000  M: 20 (intermediate snapshot)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# seed: 42  elapsed: 16141s
key,value
total_nodes,10000000
total_prisms,7723943
max_intermediates,30
count_gen1,63278
count_gen2,2552871
count_gen3,391039
count_antigen1,239570
count_sterile,400986
avg_mass_gen1,4.5547
avg_mass_gen2,6.5312
avg_mass_gen3,7.7324
avg_mass_sterile,6.1890
visible_mass_total,18330987
dark_mass_total,31156324
grav_mass_total,49487311
omega_ratio,1.699653
phase_sq_total,70147583
mass_sq_total,367877377
alpha_em,0.19068197
