# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M6 Born Rule Verification (binned |psi|^2 vs observed)
# born_r=0.101090  n_detector_nodes=170243136
intensity,observed_freq,predicted_freq
4.348504639263634e-9,7.226874160750310e-2,3.034791742792627e-3
1.410343942536528e-8,7.313335575460526e-2,9.842692891354893e-3
2.451120922014225e-8,7.854399188354130e-2,1.710620065333867e-2
3.637118844678779e-8,8.583229331246547e-2,2.538319192299344e-2
5.068443894808197e-8,9.618512185294452e-2,3.537230442436681e-2
6.938837236254912e-8,1.082115224100584e-1,4.842564417526269e-2
9.648393162490981e-8,1.205866007147844e-1,6.733542985544808e-2
1.421976734508110e-7,1.259684467398406e-1,9.923869611144316e-2
2.389038544954224e-7,1.209120067172973e-1,1.667291601726644e-1
6.276635181458431e-7,1.182618205853770e-1,4.380414023578484e-1
