# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T07:29:29Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M10 SM Lagrangian Card (zero free parameters)
parameter,value
gauge_group,SU(3) x SU(2) x U(1)
n_bosons,8/3/1
n_generations,3
alpha_em,0.00758699
alpha_em_inv,131.8045
sin2_theta_w,0.23529412
cos2_theta_w,0.76470588
e_charge,0.30877336
g1_U1Y,0.35309584
g2_SU2L,0.63655258
mw_mz_ratio,0.87447463
g_newton,0.01989437
mass_topo_gen1,981.0323
mass_topo_gen2,1355.6279
mass_topo_gen3,1569.3881
mass_ratio_21,1.381838
mass_ratio_31,1.599731
cpt_violation,0.00000000
yukawa_ratio,1.0000/1.3818/1.5997
neutrino_count,2734
neutrino_mass_proxy,1.000000
neutrino_chirality,-0.888435
pmns_1,0.425556/0.150695/0.423749
pmns_2,0.367988/0.209194/0.422818
pmns_3,0.114583/0.084079/0.801339
higgs_drag,0.082670
higgs_area_ratio,0.000000
left_fraction,0.464613
alpha_bare_inv,131.6079
alpha_screened_inv,131.6079
vp_screening,1.000000
born_chi_sq,0.000003
coherence_r,-0.071010
omega_dark_vis,1.699653
omega_energy,4.244334
gen_fractions,0.0278/0.8572/0.1150
phase_fractions,0.4554/0.0196/0.5250
interference_mean,0.333369
constructive_frac,1.000000
