# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
intermediates_N,frequency
3,575961
4,777191
5,900894
6,872320
7,729621
8,545713
9,374584
10,245826
11,153870
12,94069
13,56309
14,33241
15,19342
16,11103
17,6467
18,3612
19,2118
20,1136
21,615
22,393
23,206
24,125
25,54
26,28
27,12
28,6
29,4
30,5
