# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000227941247057e-1,1.9460,5.000407696844441e-1,1.9451,5.734569127595013e-1,2.0050,4.970787630755373e-1,1.9471,5.057759750740689e-1,1.9599,5.048961899127770e-1,1.9535,1.495621304747576e-2,4.4152016136857646e-2,6.241787299923484e-8,6.978105702362033e-7,5.174716797304660e-1,1.9372,4.55,6.53,7.73,4.45,0.013296,0.017667,0.359691,0.023155,0.052446,0.008263,0.068458,1.2626514330436875e-3,5.908700080677267e-4
2,2.547352356669504e-1,2.4276,2.548273671291023e-1,2.4270,2.862325188636329e-1,2.4630,2.531424491173785e-1,2.4385,2.564292085366756e-1,2.4234,2.565521235604624e-1,2.4470,1.6942016016020956e-2,8.573343243011844e-3,7.070885176288957e-8,1.3549086434348323e-7,2.644304809541644e-1,2.4316,4.55,6.53,7.73,4.45,0.010747,0.013010,0.186035,0.010774,0.058094,0.074568,0.022039,1.0756521864416497e-3,4.4362144778284975e-4
3,1.317857394276060e-1,3.7510,1.318278740596361e-1,3.7537,1.482271985400590e-1,3.8341,1.302280443430992e-1,3.7716,1.336110125490503e-1,3.7606,1.316599031325607e-1,3.7807,1.692522785763633e-2,8.281493302448532e-3,7.064016610052036e-8,1.308805081160943e-7,1.360833482434778e-1,3.8043,4.55,6.53,7.73,4.45,0.014548,0.003221,43.572180,0.016114,0.046071,0.119335,0.170569,8.954532127392742e-4,4.6495632065204386e-4
4,6.942292290976027e-2,4.9502,6.938405690221496e-2,4.9588,7.579334498835696e-2,5.0884,6.849891269174174e-2,4.9915,6.965237261203938e-2,4.9998,6.920232864688228e-2,5.0513,1.67186257938958e-2,8.230726372595452e-3,6.978213662998618e-8,1.3005931509844113e-7,7.074763835821306e-2,4.9883,4.55,6.53,7.73,4.45,0.040748,0.002904,58.647324,0.029507,0.121957,0.676470,0.087915,7.460335734829796e-4,4.732932006470142e-4
5,3.721946702246633e-2,6.0517,3.714977469865158e-2,6.0545,4.041137779364253e-2,6.1177,3.639338546783924e-2,6.0903,3.725950146825524e-2,6.1554,3.623606961392949e-2,6.1120,1.6482464325150964e-2,8.224123217214534e-3,6.8798147514608e-8,1.2992944928816038e-7,3.806124099481660e-2,6.0704,4.55,6.53,7.73,4.45,0.040583,0.026959,1.406581,0.041122,0.524755,0.177212,0.054724,6.55441907406817e-4,5.303412553111531e-4
6,2.035528335711908e-2,7.0237,2.033230923932521e-2,7.0000,2.192780385706704e-2,7.1299,1.992795424718921e-2,7.0171,1.999766533352935e-2,7.1137,2.004416189701031e-2,6.8359,1.6484805450212567e-2,8.176924121611301e-3,6.880877700604575e-8,1.2919341545157477e-7,2.066503095296535e-2,6.8095,4.55,6.53,7.73,4.45,0.051320,0.163954,1.648470,0.300596,0.279170,1.590402,0.870670,5.669905116579506e-4,4.448037962311056e-4
7,1.141805154682060e-2,7.8457,1.144225436743229e-2,7.7892,1.217769892877948e-2,7.9914,1.117706437833689e-2,7.6938,1.125852216209848e-2,7.8095,1.147323995520868e-2,7.6558,1.657944194952373e-2,8.186925229468364e-3,6.920493120776594e-8,1.293576750562932e-7,1.210466681046692e-2,7.3031,4.55,6.53,7.73,4.45,0.077895,0.279921,1.867783,0.805218,0.709338,1.146156,1.796700,6.416340570848402e-4,4.439581809515219e-4
8,6.585080882894096e-3,8.6007,6.631365355570346e-3,8.6151,6.946700061797284e-3,8.6170,6.589244718201996e-3,8.7009,6.503193503591837e-3,8.5953,6.663998763255031e-3,8.5501,1.6627650955032373e-2,8.269442616669965e-3,6.940623852811649e-8,1.3065698329366184e-7,7.227951669278304e-3,9.0766,4.55,6.53,7.73,4.45,0.501655,0.519077,2.030826,0.489441,0.164310,0.253755,1.542585,5.788832096264776e-4,4.795651334593973e-4
9,3.874632464113378e-3,9.1955,3.875861166931190e-3,9.1828,4.123975735130709e-3,9.1370,3.745418546631987e-3,9.3684,3.823088170644294e-3,9.5160,3.918209990521297e-3,9.6438,1.6587427356158573e-2,8.2297281265106e-3,6.923809410372818e-8,1.3003138081995583e-7,3.869209893853694e-3,9.7940,4.55,6.53,7.73,4.45,1.257466,0.892962,2.252501,1.044551,129.024109,130.162803,1.599927,5.998833397640945e-4,4.164497853997352e-4
10,2.360429359512595e-3,9.2166,2.380403592502048e-3,9.2261,2.506382878019975e-3,9.4520,2.316815156341347e-3,9.0101,2.249212947897079e-3,9.5655,2.272197879231271e-3,9.7161,1.6504591800110525e-2,8.341914121265738e-3,6.889460547134328e-8,1.318099660620556e-7,2.423529831736160e-3,8.6963,4.55,6.53,7.73,4.45,0.677797,0.492534,2.331853,0.825993,142.121539,143.385706,2.144253,6.525088091493164e-4,3.8080829436062827e-4
11,1.536800986842105e-3,8.9724,1.535814774712651e-3,8.8480,1.597505190879626e-3,9.2163,1.516652488200372e-3,9.2894,1.464193764674156e-3,8.8806,1.478119739843903e-3,9.0318,1.661917043066453e-2,8.23830033026501e-3,6.937175270822943e-8,1.3017325034398838e-7,1.616885701616716e-3,9.7963,4.55,6.53,7.73,4.45,0.717316,0.307064,2.710326,1.953231,2.064046,2.195256,157.080127,4.8766604430609405e-4,3.5791227907723257e-4
12,1.041759996416137e-3,8.6771,1.062554197918800e-3,8.2402,1.081851554773184e-3,8.4743,9.933866999564593e-4,9.0645,1.001014407294976e-3,8.4181,9.974018226830050e-4,8.9972,1.6554055013122248e-2,8.25473522441883e-3,6.909840878361554e-8,1.3044085603071842e-7,9.922164443645679e-4,10.0328,4.55,6.53,7.73,4.45,0.716200,1.609096,2.731167,1.793199,2.047266,2.264030,171.589067,3.802857179845824e-4,3.13741140984312e-4
13,7.444826618657845e-4,7.8983,7.716553684338522e-4,7.9869,7.871058966494796e-4,8.0222,7.113224883470300e-4,7.9423,7.248206378426567e-4,8.3400,6.971604957623974e-4,8.3866,1.6601671061065876e-2,8.21721888482278e-3,6.929528334834212e-8,1.2985839654411226e-7,6.994172293667047e-4,8.3391,4.55,6.53,7.73,4.45,0.975257,0.488112,3.104046,1.882614,2.135207,2.266099,2.036042,4.965802662960777e-4,2.7326370822996257e-4
14,5.667394872036913e-4,6.7664,5.741217037265769e-4,7.3801,5.829578958897108e-4,7.3307,5.385969246370629e-4,7.1040,5.263464855657905e-4,7.8448,5.225666147037006e-4,7.3134,1.6595286594410005e-2,8.230422458218388e-3,6.926715251569375e-8,1.3008342002627136e-7,5.217591170159723e-4,7.4831,4.55,6.53,7.73,4.45,2.516464,0.587804,3.878675,1.727667,1.945585,2.450610,2.006877,5.229234618879048e-4,3.6177122305311915e-4
15,4.587723831404873e-4,6.4651,4.550875246390539e-4,6.2541,4.658434287747049e-4,6.3861,4.278742702521703e-4,6.5009,4.134876298463696e-4,6.3284,4.131213980715204e-4,6.1170,1.6580967218621272e-2,8.202767030351282e-3,6.920709258910814e-8,1.2965736703281092e-7,4.094569200282840e-4,6.9244,4.55,6.53,7.73,4.45,0.252656,0.723810,2.753511,1.591324,1.987317,1.862653,2.031263,5.720838754286806e-4,4.1325862517814553e-4
16,3.680633663667315e-4,5.5010,3.781454792135982e-4,6.0176,3.805968641744212e-4,5.6187,3.489515257673905e-4,7.1397,3.449630921501283e-4,4.8848,3.473543787588301e-4,5.3061,1.66412386001396e-2,8.12921680162033e-3,6.946050280041535e-8,1.284999230778254e-7,3.286175589196323e-4,5.9306,4.55,6.53,7.73,4.45,1.334958,1.219388,4.120990,223.621467,1.918409,1.882262,1.911677,4.835871895309403e-4,4.562381619002453e-4
17,3.251525141434570e-4,4.6772,3.122805084284764e-4,5.6314,3.277405538809227e-4,4.5833,2.736946394732502e-4,6.7067,3.045791297973394e-4,5.0214,2.963897222029314e-4,5.4540,1.6939462022423503e-2,8.027868980697798e-3,7.070437152396138e-8,1.2689549929909878e-7,2.825011500842153e-4,4.9078,4.55,6.53,7.73,4.45,2.739261,1.496704,4.765843,237.836602,1.917259,2.494943,2.364560,4.2233733759107717e-4,3.835934279452641e-4
18,2.794455192920592e-4,6.2680,2.714120777762134e-4,5.1914,2.905645010503973e-4,4.0659,2.350890197637008e-4,5.1334,2.566520716485057e-4,5.7997,2.519294830628051e-4,5.8553,1.742091090972491e-2,8.043504361781575e-3,7.27148438799974e-8,1.2714561062760785e-7,2.461314759109369e-4,4.6030,4.55,6.53,7.73,4.45,252.073665,1.723694,5.781664,1.405779,2.352799,3.376936,2.617440,5.59539431178124e-4,3.45572779021344e-4
19,2.294561888823469e-4,5.8491,2.339697655610024e-4,4.3485,2.614145201882464e-4,4.8311,2.057224711594941e-4,4.7188,2.206090207016365e-4,5.5390,2.140153624493200e-4,5.6516,1.861605283302628e-2,8.01712653710642e-3,7.77016256954418e-8,1.2672922761830718e-7,2.186985920240257e-4,4.5057,4.55,6.53,7.73,4.45,265.028268,1.140775,8.369726,1.501293,2.570442,3.370818,2.218538,9.301471243487801e-4,3.722283153880407e-4
20,2.053421148627892e-4,3.5852,2.158442115822752e-4,3.5355,2.252749567816880e-4,7.9295,1.833459903420267e-4,4.4548,1.916988934480455e-4,5.4290,1.870581430872318e-4,3.9863,2.0998921102394826e-2,7.87604542831207e-3,8.764934866483707e-8,1.2447859759296839e-7,1.941256622420932e-4,5.3281,4.55,6.53,7.73,4.45,276.198309,4.078393,8.005100,1.593132,2.271025,2.782401,2.716623,1.6408696003264566e-3,2.8786252853690907e-4
21,1.917713859787784e-4,4.1110,1.960299724490580e-4,4.6908,1.757922779633440e-4,5.6290,1.646140808292839e-4,4.4206,1.681265110375787e-4,4.8961,1.753116319630788e-4,3.9444,2.52786397102504e-2,7.7130587022032045e-3,1.0551328599693975e-7,1.219065665496036e-7,1.675140009281407e-4,5.6541,4.55,6.53,7.73,4.45,1.131686,2.383780,8.494977,1.541662,2.817708,4.435248,2.917158,2.662836271147733e-3,3.85325369108395e-4
22,1.688085177529183e-4,4.5065,1.726071218865196e-4,3.6701,1.722714488876900e-4,1.8412,1.485188731250564e-4,4.3750,1.518057693892392e-4,-10.3640,1.550033514336345e-4,3.1768,3.2449938130067496e-2,7.4763650810860255e-3,1.3544792145716792e-7,1.1815433674109836e-7,1.482735148745239e-4,4.3497,4.55,6.53,7.73,4.45,301.923836,1.079539,10.644344,1.969496,316.315023,5.353833,2.721812,3.91425118020533e-3,3.542147402972097e-4
23,1.562290008063690e-4,2.5248,1.658911297806164e-4,1.7117,1.616694327441603e-4,4.4049,1.349096462928162e-4,-3.3378,2.693826301872084e-4,3.4804,1.517245897334209e-4,1.9073,4.303466504413931e-2,7.079961632437459e-3,1.796307234890118e-7,1.1187572214101827e-7,1.374442890563275e-4,4.0581,4.55,6.53,7.73,4.45,317.326957,6.526544,7.285077,327.006460,3.992558,5.388350,3.135407,5.253653463514778e-3,3.574639039305141e-4
24,1.512479420790242e-4,2.5063,1.602200975482541e-4,3.2091,1.422282594272958e-4,7.3527,1.717303162789196e-4,-0.7379,1.304753474248711e-4,19.4799,1.426604828023840e-4,3.7978,5.715084808054736e-2,6.597215286925184e-3,2.38557546199962e-7,1.0423155062541131e-7,1.242762414059207e-4,3.6139,4.55,6.53,7.73,4.45,331.111349,1.002783,11.306048,337.994689,343.235355,4.599934,3.077951,6.092339173606736e-3,3.9489625865769004e-4
