# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T04:13:44Z
# N: 10000000  M: 12 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,4.999980334088505e-1,1.9490,5.000693244212756e-1,1.9423,5.592266244196410e-1,2.0465,4.956198055199800e-1,1.9443,4.906543870197038e-1,1.9664,5.330891197403947e-1,1.9540,1.4888958104631332e-2,4.403546618797887e-2,6.215522244052353e-8,6.976325957011254e-7,5.164490659578088e-1,1.9270,4.55,6.53,7.73,4.45,0.000169,0.022796,0.464308,0.030064,0.067614,0.009642,0.088393,1.0276511448605592e-3,5.447610254266268e-4
2,2.544613703500452e-1,2.4300,2.550807340664785e-1,2.4250,2.751444164324309e-1,2.4877,2.526419891769637e-1,2.4405,2.482036810861167e-1,2.4157,2.708286270801402e-1,2.4554,1.704212346392636e-2,8.4913211734604e-3,7.115437694738003e-8,1.345220336201731e-7,2.648407034674453e-1,2.4288,4.55,6.53,7.73,4.45,0.000429,0.016782,0.239253,0.013735,0.074967,0.096148,0.028462,8.063959573827335e-4,3.371211901969614e-4
3,1.316012131800805e-1,3.7543,1.319808006872536e-1,3.7534,1.426000389163403e-1,3.8941,1.297001123151257e-1,3.7737,1.301627253923616e-1,3.7610,1.383680267028194e-1,3.7969,1.699773168783533e-2,8.207590956442839e-3,7.096858207428382e-8,1.3003730949292958e-7,1.360203817060071e-1,3.8317,4.55,6.53,7.73,4.45,0.000986,0.004163,57.247033,0.019966,0.059337,0.152293,0.219220,6.293505833134581e-4,3.5053995574822034e-4
4,6.927015669264966e-2,4.9596,6.946015981319650e-2,4.9587,7.135749847197727e-2,5.1747,6.831330573897849e-2,4.9955,6.740936524306573e-2,5.0157,7.264577069795386e-2,5.1015,1.6861880403795937e-2,8.20438932000462e-3,7.04058401495499e-8,1.299640270703993e-7,7.018687112932433e-2,4.9958,4.55,6.53,7.73,4.45,0.002926,0.003685,77.051762,0.037777,0.157173,0.876988,0.112543,6.804204543789385e-4,4.0458667772551196e-4
5,3.707810120091388e-2,6.0612,3.719423215815180e-2,6.0499,3.802963084654668e-2,6.1103,3.620913487273066e-2,6.0877,3.615143573900733e-2,6.1989,3.759762220423062e-2,6.1280,1.6594209062412647e-2,8.166024124296662e-3,6.928765250299123e-8,1.2932092816274584e-7,3.797064611324376e-2,6.0523,4.55,6.53,7.73,4.45,0.004993,0.034636,1.843836,0.053203,0.681322,0.222677,0.060547,7.589238465042879e-4,4.921879360629476e-4
6,2.027133824727797e-2,7.0375,2.037369265020223e-2,6.9718,2.067537062417259e-2,7.1688,1.988440316245176e-2,6.9716,1.918384029237788e-2,7.1160,2.097350833943379e-2,6.7042,1.651630002469932e-2,8.126328226806541e-3,6.89609553544665e-8,1.286940828775978e-7,2.057675588929446e-2,6.6224,4.55,6.53,7.73,4.45,0.008552,0.211078,2.170891,0.388331,0.361553,2.061499,1.117765,6.841379881669916e-4,4.0924551122193515e-4
7,1.134834755678715e-2,7.8668,1.151030592091930e-2,7.7382,1.138528523076957e-2,8.0172,1.120589808836097e-2,7.5261,1.091949388059642e-2,7.7111,1.217086581005619e-2,7.5319,1.6564842109802833e-2,8.115531392738498e-3,6.916297323324645e-8,1.2853659547487012e-7,1.246211508201422e-2,6.8801,4.55,6.53,7.73,4.45,0.012452,0.360132,2.451731,1.037384,0.900841,1.479837,2.321953,7.636658135901709e-4,3.5986456020061e-4
8,6.538098937000819e-3,8.4875,6.693776292323708e-3,8.6866,6.525680158692651e-3,8.5831,6.735366845103002e-3,8.7650,6.327413178630413e-3,8.5674,7.098369907289720e-3,8.5732,1.653371729571308e-2,8.177336237596582e-3,6.903373029974036e-8,1.2952168611948126e-7,7.648576409335704e-3,9.3113,4.55,6.53,7.73,4.45,0.019960,0.671950,2.611872,0.626550,0.151296,0.192394,1.993016,6.87884280907394e-4,4.131336353678138e-4
9,3.906183335893235e-3,8.9584,3.864043287404430e-3,9.3167,3.872062301818599e-3,9.0875,3.724949081277334e-3,9.5499,3.721011325170846e-3,9.7311,4.144433293669412e-3,10.0812,1.6507110992405895e-2,8.216970329357734e-3,6.89223751652833e-8,1.3014526579291806e-7,3.867713253248485e-3,10.1156,4.55,6.53,7.73,4.45,0.052463,1.152830,2.882234,1.350282,169.506494,170.936023,2.096298,6.501110178087015e-4,3.7766790848162786e-4
10,2.406432592988429e-3,9.1089,2.367167434103863e-3,9.2886,2.367492319878148e-3,9.2181,2.320701886297532e-3,8.8660,2.136522728824230e-3,9.8542,2.305021329191858e-3,10.1353,1.636613533364419e-2,8.315627771054967e-3,6.833392619149001e-8,1.3171869912734387e-7,2.474181244377923e-3,8.3211,4.55,6.53,7.73,4.45,0.053181,0.631774,2.818449,1.055765,186.697506,188.319227,2.744632,7.128357914920775e-4,3.6357975795177296e-4
