# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000910793650793e-1,1.9490,4.999315873015873e-1,1.9485,4.998074285714285e-1,1.9573,4.998066666666667e-1,1.9571,4.997993650793652e-1,1.9570,4.997985396825397e-1,1.9551,2.7903894022158097e-2,4.3997458827143614e-2,1.1655721733571843e-7,6.970552961891691e-7,4.998016190476191e-1,1.9573,4.56,6.53,7.73,4.45,0.002725,0.003212,0.000399,0.000415,0.000531,0.000461,0.000455,8.736345799945843e-4,7.087107868942531e-4
2,2.545088571428571e-1,2.4287,2.544636507936508e-1,2.4284,2.536323492063492e-1,2.4377,2.536497142857143e-1,2.4375,2.536506031746032e-1,2.4368,2.538206984126984e-1,2.4336,4.575565673580378e-2,7.207987680650591e-3,1.9112549737475751e-7,1.1418035081893511e-7,2.536283492063492e-1,2.4374,4.56,6.53,7.73,4.45,0.003015,0.003005,0.000851,0.000579,0.000657,0.000767,0.000616,8.969639481444664e-4,3.757304717216445e-4
3,1.317232380952381e-1,3.7513,1.317020952380952e-1,3.7514,1.309941904761905e-1,3.7640,1.310104126984127e-1,3.7636,1.310613650793651e-1,3.7621,1.312938095238095e-1,3.7544,6.753017605042792e-2,6.202281468321109e-3,2.8208466340404157e-7,9.825103199892852e-8,1.310145079365079e-1,3.7637,4.56,6.53,7.73,4.45,0.006014,0.006327,0.001983,0.002453,0.001726,0.002085,0.001666,1.286100690960381e-3,2.791134718221433e-4
4,6.935549206349206e-2,4.9540,6.933933333333334e-2,4.9529,6.881180952380951e-2,4.9815,6.882650793650794e-2,4.9798,6.886196825396826e-2,4.9777,6.909358730158729e-2,4.9630,8.826866695965223e-2,5.6323451757761215e-3,3.687076823270132e-7,8.922672061377483e-8,6.881844444444445e-2,4.9811,4.56,6.53,7.73,4.45,0.011718,0.012968,0.004105,0.005173,0.006114,0.006216,0.003867,1.3403928120006416e-3,2.0472551153689412e-4
5,3.716561904761905e-2,6.0535,3.717053968253968e-2,6.0577,3.670098412698413e-2,6.1080,3.672203174603174e-2,6.1034,3.675596825396825e-2,6.1018,3.695958730158731e-2,6.0783,1.0140394468736615e-1,5.188169479951927e-3,4.2357201349196793e-7,8.219796934948386e-8,3.671063492063492e-2,6.1069,4.56,6.53,7.73,4.45,0.019156,0.020534,0.006320,0.008133,0.011443,0.008581,0.007561,1.6786904986606159e-3,3.306006961882475e-4
6,2.032796825396825e-2,7.0425,2.030596825396825e-2,7.0350,1.994711111111111e-2,7.1397,1.996980952380953e-2,7.1289,1.998692063492064e-2,7.1278,2.014987301587302e-2,7.1000,1.0597556516220083e-1,4.6402651359371905e-3,4.4267243847725355e-7,7.351362620241059e-8,1.995330158730159e-2,7.1359,4.56,6.53,7.73,4.45,0.031757,0.025483,0.018370,0.017320,0.014277,0.012157,0.018179,1.465362268837332e-3,2.3218962639659133e-4
7,1.136546031746032e-2,7.8821,1.138133333333334e-2,7.8407,1.104133333333334e-2,7.9758,1.106780952380952e-2,7.9491,1.108003174603175e-2,7.9598,1.119365079365079e-2,7.8992,1.0361529528466742e-1,4.298618288719153e-3,4.3280875695846496e-7,6.810216803255751e-8,1.105123809523809e-2,7.9678,4.56,6.53,7.73,4.45,0.035605,0.040111,0.052145,0.029845,0.033457,0.027252,0.030661,1.5954267402269525e-3,2.512184111539943e-4
8,6.541904761904761e-3,8.4852,6.573873015873016e-3,8.5087,6.333365079365079e-3,8.5641,6.365015873015875e-3,8.5509,6.360698412698413e-3,8.5353,6.468698412698413e-3,8.4777,9.828927608455998e-2,3.7709046905683085e-3,4.105725089468415e-7,5.973458798819722e-8,6.342698412698413e-3,8.5660,4.56,6.53,7.73,4.45,0.058697,0.051383,0.059476,0.075449,0.053094,0.056758,0.052929,1.502623811598872e-3,2.1052917750101542e-4
9,3.913206349206349e-3,8.8851,3.907079365079365e-3,8.9752,3.764095238095237e-3,8.9701,3.779365079365079e-3,8.9993,3.790952380952381e-3,8.9703,3.857650793650794e-3,8.9667,9.147269624294176e-2,3.4314962618369927e-3,3.8208642300836254e-7,5.435833342565596e-8,3.766571428571429e-3,8.9827,4.56,6.53,7.73,4.45,0.091532,0.100814,0.071021,0.105657,0.074086,0.081401,0.070166,1.47902984866286e-3,1.7400636854475758e-4
10,2.427587301587302e-3,9.0599,2.415047619047619e-3,9.0754,2.328031746031746e-3,9.1908,2.332063492063492e-3,9.1940,2.338031746031746e-3,9.2228,2.378666666666667e-3,9.1939,8.458891860362251e-2,3.0031085748679106e-3,3.533164329776002e-7,4.759661807098406e-8,2.328190476190476e-3,9.2433,4.56,6.53,7.73,4.45,0.134261,0.130114,0.113714,0.130636,0.104297,0.126214,0.120621,1.8450902962466149e-3,3.193974453991484e-4
