# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,5404825
max_intermediates,30
count_gen1,63124
count_gen2,2552467
count_gen3,390997
count_antigen1,239401
count_sterile,400888
avg_mass_gen1,4.5569
avg_mass_gen2,6.5320
avg_mass_gen3,7.7312
avg_mass_sterile,6.1918
visible_mass_total,12825025
dark_mass_total,21809198
grav_mass_total,34634223
omega_ratio,1.700519
phase_sq_total,49071119
mass_sq_total,257510165
q_topo,0.19055993
alpha_em,0.00758214
omega_energy,4.24769295
phase_pos_count,15769144
phase_zero_count,680440
phase_neg_count,18184639
prisms_gen1,46716
prisms_gen2,299162
prisms_gen3,40179
