# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,7723943
max_intermediates,30
count_gen1,63278
count_gen2,2552871
count_gen3,391039
count_antigen1,239570
count_sterile,400986
avg_mass_gen1,4.5547
avg_mass_gen2,6.5312
avg_mass_gen3,7.7324
avg_mass_sterile,6.1890
visible_mass_total,18330987
dark_mass_total,31156324
grav_mass_total,49487311
omega_ratio,1.699653
phase_sq_total,70147583
mass_sq_total,367877377
q_topo,0.19068197
alpha_em,0.00758699
omega_energy,4.24433432
phase_pos_count,22534511
phase_zero_count,972232
phase_neg_count,25980568
prisms_gen1,46777
prisms_gen2,299240
prisms_gen3,40179
