# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M4 Combinatorial RG Flow (Q_topo in Alexandrov intervals)
volume,n_prisms,local_phase_sq,local_mass_sq,local_q,local_alpha
8352,86,626,4019,0.155760,0.006197
63424,1338,10849,61537,0.176300,0.007015
44031,717,5383,31867,0.168921,0.006721
995,1,1,49,0.020408,0.000812
1929,15,211,627,0.336523,0.013390
193509,5066,42938,225381,0.190513,0.007580
3142,15,151,452,0.334071,0.013292
30761,546,4401,24085,0.182728,0.007271
4282,27,274,1412,0.194051,0.007721
5358,46,357,2288,0.156031,0.006208
37126,639,4591,30626,0.149905,0.005965
70517,1523,11336,72820,0.155672,0.006194
3901,29,137,1456,0.094093,0.003744
517,1,9,9,1.000000,0.039789
12268,172,1227,8313,0.147600,0.005873
16662,161,1399,6575,0.212776,0.008466
53936,1094,8059,49749,0.161993,0.006446
66097,1254,9585,56668,0.169143,0.006730
2087,8,156,366,0.426230,0.016959
8408,77,756,3033,0.249258,0.009918
82520,1837,13501,82683,0.163286,0.006497
1001,1,16,36,0.444444,0.017684
3881,36,237,1779,0.133221,0.005301
331,1,9,9,1.000000,0.039789
8178,85,613,3395,0.180560,0.007184
114285,2733,21421,128772,0.166348,0.006619
15838,206,1527,10731,0.142298,0.005662
30263,536,3916,23790,0.164607,0.006550
5322,57,384,2973,0.129162,0.005139
28825,508,3714,23166,0.160321,0.006379
1981,7,77,450,0.171111,0.006808
494,1,36,100,0.360000,0.014324
1869,2,29,113,0.256637,0.010211
2271,7,93,117,0.794872,0.031627
74558,1681,12726,81076,0.156964,0.006245
16816,240,1970,11117,0.177206,0.007051
38918,585,4794,25354,0.189083,0.007523
761,4,52,201,0.258706,0.010294
967,2,9,34,0.264706,0.010532
5034,53,303,2441,0.124129,0.004939
12212,149,1145,7289,0.157086,0.006250
4713,31,207,1377,0.150327,0.005981
650,1,25,49,0.510204,0.020300
12426,111,735,4471,0.164393,0.006541
8236,63,1203,1660,0.724699,0.028835
8307,87,547,4250,0.128706,0.005121
6831,61,578,2533,0.228188,0.009079
8515,84,727,4307,0.168795,0.006716
3727,24,502,658,0.762918,0.030356
13833,114,1539,3529,0.436101,0.017352
9769,109,1027,4401,0.233356,0.009285
33488,582,4572,26626,0.171712,0.006832
4471,39,278,2125,0.130824,0.005205
24938,372,3164,17982,0.175954,0.007001
1727,4,74,138,0.536232,0.021336
5934,60,350,2339,0.149637,0.005954
17147,223,1542,10359,0.148856,0.005923
1589,6,21,204,0.102941,0.004096
17767,260,2208,11133,0.198329,0.007891
3285,23,166,1015,0.163547,0.006507
28448,510,4552,25409,0.179149,0.007128
4874,26,353,1504,0.234707,0.009339
145,1,1,9,0.111111,0.004421
12349,153,1446,6637,0.217870,0.008669
9585,115,1057,4573,0.231139,0.009197
5339,31,290,800,0.362500,0.014423
1922,8,37,274,0.135036,0.005373
27853,507,3287,23313,0.140994,0.005610
75278,1585,11953,72408,0.165078,0.006568
26106,397,2788,16195,0.172152,0.006850
1187,1,25,25,1.000000,0.039789
8832,104,793,4574,0.173371,0.006898
1755,4,48,297,0.161616,0.006431
5592,38,213,1537,0.138582,0.005514
4601,37,356,1648,0.216019,0.008595
450,2,5,169,0.029586,0.001177
1188,5,3,79,0.037975,0.001511
1400,2,8,80,0.100000,0.003979
1777,7,45,332,0.135542,0.005393
20559,336,2476,16067,0.154105,0.006132
1425,5,39,235,0.165957,0.006603
1441,3,37,134,0.276119,0.010986
1141,4,75,110,0.681818,0.027129
11452,78,998,2117,0.471422,0.018757
8028,79,778,4083,0.190546,0.007582
3904,12,118,202,0.584158,0.023243
53648,1005,7710,47243,0.163199,0.006493
9489,99,729,4798,0.151938,0.006045
40961,768,5116,34339,0.148985,0.005928
37506,694,5311,33210,0.159922,0.006363
729,1,1,49,0.020408,0.000812
71514,1294,9934,54915,0.180898,0.007198
17091,256,2112,10773,0.196046,0.007800
