# commit: cff5bb5 (dirty)
# N: 100000  M: 10 (converged=false, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T01:45:31Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.003317333333334e-1,1.9387,5.002373333333334e-1,1.9371,4.998076888888889e-1,1.9548,4.998069777777778e-1,1.9533,4.997995555555557e-1,1.9529,4.997984444444444e-1,1.9497,7.3651257451015e-2,5.1000500162258065e-2,1.60962279297148e-5,1.0921500654632037e-4,4.998016444444445e-1,1.9542,4.55,6.48,7.88,4.66,0.002708,0.001634,0.000825,0.000459,0.000392,0.000437,0.000371,1.4968581964930732e-2,1.0514641129153969e-2
2,2.555376000000000e-1,2.4092,2.556276000000000e-1,2.4077,2.538511111111111e-1,2.4326,2.539847555555556e-1,2.4307,2.540089333333334e-1,2.4292,2.542914666666666e-1,2.4241,1.4219351436050315e-1,9.17103618349566e-3,3.1158329109521416e-5,2.028530075798085e-5,2.538999111111111e-1,2.4320,4.55,6.48,7.88,4.66,0.003040,0.001809,0.001254,0.000582,0.000888,0.000945,0.000811,1.7799006468212464e-2,5.0519318913383165e-3
3,1.332023555555555e-1,3.6987,1.332916444444444e-1,3.6969,1.313672444444444e-1,3.7514,1.314986222222222e-1,3.7458,1.316093333333333e-1,3.7438,1.319788888888889e-1,3.7315,2.0234161428073733e-1,3.697363367880236e-3,4.426794621442721e-5,7.81606350609143e-6,1.314042666666667e-1,3.7494,4.55,6.48,7.88,4.66,0.004556,0.004361,0.003450,0.002060,0.002589,0.002338,0.003288,2.3825298555373867e-2,2.5723668074483057e-3
4,7.091693333333333e-2,4.8467,7.098439999999999e-2,4.8440,6.917324444444445e-2,4.9560,6.934400000000000e-2,4.9468,6.939786666666667e-2,4.9395,6.977293333333333e-2,4.9199,2.4673179626950859e-1,1.932514153489878e-3,5.39795457452628e-5,3.8242356096851536e-6,6.923328888888888e-2,4.9523,4.55,6.48,7.88,4.66,0.007979,0.009331,0.010134,0.005169,0.002932,0.003469,0.006128,3.3645409088571165e-2,2.199573019670274e-3
5,3.862728888888889e-2,5.8615,3.868022222222222e-2,5.8604,3.704666666666667e-2,6.0583,3.717040000000001e-2,6.0514,3.727164444444445e-2,6.0331,3.756377777777777e-2,6.0065,2.338408933776845e-1,2.403846153846154e-4,5.116660950926715e-5,5.778476331360948e-7,3.709151111111111e-2,6.0568,4.55,6.48,7.88,4.66,0.019087,0.019227,0.017060,0.007266,0.007086,0.009117,0.006209,1.92363133307444e-2,7.211538461538461e-4
6,2.161066666666667e-2,6.7194,2.163626666666666e-2,6.7063,2.025475555555555e-2,7.0671,2.033351111111111e-2,7.0490,2.042493333333333e-2,7.0173,2.064626666666667e-2,6.9778,1.72995629533882e-1,6.352698401582308e-4,3.790589530491355e-5,1.3878832136862761e-6,2.027866666666667e-2,7.0633,4.55,6.48,7.88,4.66,0.030786,0.038319,0.025404,0.012254,0.025057,0.021159,0.014793,1.709144749216059e-2,9.92126727727669e-4
7,1.247231111111111e-2,7.3751,1.251688888888889e-2,7.3582,1.128226666666667e-2,7.8546,1.135457777777778e-2,7.8165,1.144635555555555e-2,7.7973,1.161297777777778e-2,7.7317,1.1638428807998528e-1,4.1753653444676406e-4,2.551570571590914e-5,8.71683787989069e-7,1.130328888888889e-2,7.8496,4.55,6.48,7.88,4.66,0.046884,0.055326,0.049105,0.032158,0.040291,0.042170,0.026377,1.1638856776050885e-2,1.252609603340292e-3
8,7.480888888888889e-3,7.7187,7.507911111111111e-3,7.7326,6.544222222222222e-3,8.4111,6.605733333333333e-3,8.3274,6.653822222222222e-3,8.3073,6.789644444444446e-3,8.2429,6.535991067563067e-2,0e0,1.43595202993135e-5,0e0,6.556622222222222e-3,8.3424,4.55,6.48,7.88,4.66,0.082061,0.066307,0.073490,0.067660,0.058888,0.039912,0.051717,1.8147875342716807e-2,0e0
9,4.728444444444445e-3,7.7312,4.737111111111111e-3,7.7999,3.920888888888889e-3,8.8129,3.987733333333334e-3,8.6411,4.030133333333333e-3,8.6089,4.122044444444444e-3,8.5564,3.469253391834441e-2,0e0,7.647380630420549e-6,0e0,3.962222222222222e-3,8.6810,4.55,6.48,7.88,4.66,0.088297,0.143498,0.122105,0.076208,0.090195,0.091622,0.083161,1.3462544353521531e-2,0e0
10,3.157466666666666e-3,7.4680,3.144666666666666e-3,7.5363,2.448088888888889e-3,8.8747,2.518933333333333e-3,8.7690,2.546400000000000e-3,8.6787,2.613644444444444e-3,8.5930,1.4718301081160021e-2,2.0876826722338203e-4,3.2342484816659452e-6,4.358418939945345e-7,2.489111111111111e-3,8.8219,4.55,6.48,7.88,4.66,0.152827,0.204718,0.099163,0.100467,0.135180,0.188834,0.135864,4.97707676504152e-3,6.26304801670146e-4
11,2.235111111111111e-3,6.9300,2.223911111111111e-3,6.9542,1.609422222222222e-3,8.6869,1.654311111111111e-3,8.5955,1.687111111111111e-3,8.5479,1.740488888888889e-3,8.4944,6.7621965639950085e-3,0e0,1.4921705935640418e-6,0e0,1.635022222222222e-3,8.7599,4.55,6.48,7.88,4.66,0.315329,0.208630,0.198778,0.154717,0.250976,0.203845,0.176797,5.952080715463555e-3,0e0
12,1.678711111111111e-3,6.1363,1.668222222222222e-3,6.1488,1.108933333333333e-3,8.1147,1.150577777777778e-3,7.9999,1.168177777777778e-3,8.0593,1.204888888888889e-3,7.9179,2.709225667417946e-3,0e0,6.071079763657675e-7,0e0,1.120044444444444e-3,8.1118,4.55,6.48,7.88,4.66,0.350983,0.162448,0.260311,0.191570,0.278963,0.245922,0.239561,4.772152954003186e-3,0e0
13,1.338755555555556e-3,5.3504,1.330666666666667e-3,5.2385,8.171555555555555e-4,7.2704,8.480444444444445e-4,7.1995,8.605777777777778e-4,7.1835,8.983555555555558e-4,6.9826,5.760151398350366e-4,0e0,1.3070485923885696e-7,0e0,8.303555555555555e-4,7.1588,4.55,6.48,7.88,4.66,0.340777,0.165977,0.420056,0.312238,0.315318,0.396405,0.381856,1.2894684247072821e-3,0e0
14,1.111422222222222e-3,4.5454,1.114044444444444e-3,4.3513,6.332000000000002e-4,6.3747,6.605777777777777e-4,6.5006,6.715111111111110e-4,6.2039,7.034222222222222e-4,6.0723,1.584786053882726e-4,0e0,3.548558114381384e-8,0e0,6.450666666666667e-4,6.4104,4.55,6.48,7.88,4.66,0.328023,0.414512,0.269397,0.399785,0.361680,0.516759,0.371687,4.754358161648177e-4,0e0
15,9.670666666666666e-4,3.5750,9.746666666666668e-4,3.7287,5.178666666666666e-4,5.7578,5.326222222222221e-4,5.9221,5.520888888888889e-4,5.4407,5.817777777777777e-4,5.3542,0e0,0e0,0e0,0e0,5.248888888888890e-4,5.8517,4.55,6.48,7.88,4.66,0.436200,0.355203,0.341563,0.380401,0.334705,0.585520,0.484340,0e0,0e0
16,8.754222222222222e-4,3.0599,8.685333333333333e-4,3.1140,4.311111111111111e-4,5.5267,4.448444444444445e-4,4.9456,4.669777777777778e-4,5.1990,4.920000000000000e-4,5.1004,0e0,0e0,0e0,0e0,4.364444444444445e-4,5.2966,4.55,6.48,7.88,4.66,0.333656,0.356788,0.403127,0.441953,0.666284,0.618251,0.507373,0e0,0e0
17,7.985333333333334e-4,2.8700,8.020888888888888e-4,2.4023,3.664444444444444e-4,5.1271,3.908444444444445e-4,4.5196,3.987555555555556e-4,4.8253,4.228000000000000e-4,4.7840,0e0,0e0,0e0,0e0,3.768000000000000e-4,4.7015,4.55,6.48,7.88,4.66,0.327719,0.364311,0.536536,0.566647,0.669403,0.638710,0.540705,0e0,0e0
18,7.392888888888888e-4,2.2963,7.539555555555555e-4,2.2945,3.187555555555555e-4,4.8152,3.408888888888888e-4,3.8907,3.514666666666667e-4,4.0140,3.712000000000000e-4,3.8628,0e0,0e0,0e0,0e0,3.308888888888889e-4,4.3210,4.55,6.48,7.88,4.66,0.495687,0.467268,0.917355,0.404126,1.139534,0.790213,0.651070,0e0,0e0
19,7.028000000000000e-4,1.8706,7.059999999999999e-4,2.1067,2.803555555555556e-4,4.6627,3.148000000000001e-4,3.6240,3.189777777777778e-4,3.8391,3.410666666666667e-4,3.4200,0e0,0e0,0e0,0e0,2.963111111111111e-4,3.7886,4.55,6.48,7.88,4.66,0.309967,0.492747,0.913930,0.515062,0.830337,0.810235,0.613505,0e0,0e0
20,6.699111111111110e-4,1.8220,6.747555555555555e-4,1.7131,2.493333333333333e-4,3.8331,2.816444444444444e-4,3.8904,2.871111111111111e-4,4.0172,3.100000000000000e-4,3.4940,0e0,0e0,0e0,0e0,2.710222222222222e-4,3.5102,4.55,6.48,7.88,4.66,0.379292,0.361159,0.895395,1.219266,0.731930,1.013320,0.804649,0e0,0e0
21,6.415555555555556e-4,1.7076,6.480000000000000e-4,1.7534,2.314222222222222e-4,3.6382,2.591111111111111e-4,3.9527,2.608888888888889e-4,3.9209,2.863555555555556e-4,3.2052,0e0,0e0,0e0,0e0,2.485777777777778e-4,3.3307,4.55,6.48,7.88,4.66,0.349971,0.240291,1.292104,0.960328,0.715966,0.871829,0.581513,0e0,0e0
22,6.175555555555555e-4,1.2712,6.206666666666667e-4,1.5524,2.096444444444444e-4,3.6972,2.332888888888889e-4,3.6285,2.381777777777777e-4,2.7026,2.660888888888889e-4,3.1852,0e0,0e0,0e0,0e0,2.312444444444444e-4,3.3615,4.55,6.48,7.88,4.66,0.467029,0.336298,0.905228,0.869836,1.085034,0.913121,1.060141,0e0,0e0
23,6.055111111111111e-4,1.2230,6.038222222222223e-4,1.3298,1.956000000000000e-4,2.4885,2.196888888888889e-4,2.9389,2.307111111111111e-4,2.5369,2.477333333333333e-4,2.8016,0e0,0e0,0e0,0e0,2.133333333333333e-4,3.5366,4.55,6.48,7.88,4.66,0.434017,0.343649,1.315514,1.240875,0.966949,0.987931,0.707585,0e0,0e0
24,5.855555555555555e-4,1.5790,5.857777777777777e-4,1.5045,1.881333333333333e-4,3.1151,2.052888888888889e-4,2.8622,2.132888888888889e-4,3.6191,2.355555555555556e-4,2.7994,0e0,0e0,0e0,0e0,1.982666666666667e-4,3.8160,4.55,6.48,7.88,4.66,0.385515,0.544436,1.680638,1.150366,1.551360,1.190715,1.041680,0e0,0e0
25,5.669333333333333e-4,1.3061,5.671111111111111e-4,1.4157,1.717777777777778e-4,3.9019,1.949777777777778e-4,3.5328,1.984000000000000e-4,3.2067,2.204444444444444e-4,4.0664,0e0,0e0,0e0,0e0,1.819555555555556e-4,3.6546,4.55,6.48,7.88,4.66,0.642983,0.451299,1.797305,0.950275,1.475939,0.940782,1.072943,0e0,0e0
26,5.557333333333334e-4,1.0794,5.535111111111111e-4,1.0515,1.609333333333333e-4,3.6697,1.782222222222222e-4,4.5668,1.876000000000000e-4,2.9432,2.001777777777778e-4,3.4462,0e0,0e0,0e0,0e0,1.712888888888889e-4,2.8979,4.55,6.48,7.88,4.66,0.688535,0.806149,2.141239,1.111916,1.111465,1.421703,1.846337,0e0,0e0
27,5.438666666666666e-4,0.9892,5.446222222222222e-4,1.1397,1.491555555555556e-4,3.6325,1.635555555555556e-4,3.8801,1.771555555555555e-4,4.1826,1.930666666666667e-4,1.9245,0e0,0e0,0e0,0e0,1.627555555555555e-4,2.9495,4.55,6.48,7.88,4.66,0.418449,0.449908,1.406333,1.108072,1.374080,1.360857,1.723911,0e0,0e0
28,5.357333333333333e-4,0.9562,5.306222222222223e-4,1.2494,1.406666666666666e-4,2.9804,1.543555555555556e-4,2.3139,1.606666666666667e-4,3.9285,1.864000000000000e-4,2.5833,0e0,0e0,0e0,0e0,1.535555555555555e-4,2.7357,4.55,6.48,7.88,4.66,0.614743,0.441073,1.797648,1.625914,1.671928,1.104768,1.363062,0e0,0e0
29,5.256000000000000e-4,1.0455,5.208444444444445e-4,0.7352,1.340888888888889e-4,3.0085,1.505777777777777e-4,1.5868,1.539555555555556e-4,2.1033,1.760444444444444e-4,3.6564,0e0,0e0,0e0,0e0,1.476000000000000e-4,2.4408,4.55,6.48,7.88,4.66,0.478548,0.372458,2.277584,1.224349,1.642713,1.604357,2.171700,0e0,0e0
30,5.167555555555556e-4,1.0253,5.173333333333333e-4,0.7433,1.268000000000000e-4,2.3308,1.461333333333333e-4,3.3499,1.494222222222222e-4,2.4996,1.643111111111111e-4,3.4402,0e0,0e0,0e0,0e0,1.411555555555555e-4,2.6423,4.55,6.48,7.88,4.66,0.286047,0.415257,1.615538,1.379907,1.748617,1.008271,1.011965,0e0,0e0
32,4.997333333333334e-4,0.9469,5.021333333333333e-4,1.0643,1.195555555555556e-4,2.7097,1.276888888888889e-4,3.6473,1.361333333333333e-4,2.7978,1.486222222222222e-4,2.7269,0e0,0e0,0e0,0e0,1.296000000000000e-4,2.8150,4.55,6.48,7.88,4.66,0.363763,0.317658,0.994897,1.217546,1.432049,0.972459,1.456802,0e0,0e0
34,4.870222222222222e-4,0.7361,4.840000000000001e-4,0.8648,1.070222222222222e-4,3.5384,1.163111111111111e-4,2.9699,1.254222222222222e-4,2.7241,1.385333333333333e-4,2.5306,0e0,0e0,0e0,0e0,1.183555555555555e-4,4.0591,4.55,6.48,7.88,4.66,0.440096,0.408099,1.243389,1.370112,1.096827,0.897828,1.203632,0e0,0e0
36,4.785333333333333e-4,0.6738,4.772000000000000e-4,0.5533,9.706666666666666e-5,3.1415,1.072000000000000e-4,2.6850,1.159555555555556e-4,2.4978,1.280444444444444e-4,3.0890,0e0,0e0,0e0,0e0,1.020444444444445e-4,3.1586,4.55,6.48,7.88,4.66,0.321942,0.391549,0.985437,0.903107,1.861424,1.384033,1.758007,0e0,0e0
38,4.691111111111111e-4,0.7205,4.693333333333333e-4,0.5470,8.986666666666666e-5,2.6743,1.001777777777778e-4,2.3602,1.091555555555556e-4,2.9711,1.166666666666666e-4,3.3021,0e0,0e0,0e0,0e0,9.928888888888889e-5,2.1883,4.55,6.48,7.88,4.66,0.361011,0.482242,1.963941,1.803793,1.464840,1.480482,1.486009,0e0,0e0
40,4.607111111111110e-4,0.5392,4.636444444444444e-4,0.5331,8.431111111111112e-5,2.1692,9.466666666666666e-5,1.7985,9.915555555555556e-5,3.4169,1.076000000000000e-4,2.6325,0e0,0e0,0e0,0e0,9.093333333333333e-5,3.1103,4.55,6.48,7.88,4.66,0.451453,0.308578,1.694486,1.417864,2.192977,1.655758,1.470211,0e0,0e0
42,4.566222222222222e-4,0.4419,4.569777777777777e-4,0.6392,8.062222222222222e-5,2.1042,9.155555555555557e-5,1.6173,9.200000000000000e-5,3.3921,1.022666666666667e-4,1.5091,0e0,0e0,0e0,0e0,8.497777777777778e-5,2.1245,4.55,6.48,7.88,4.66,0.197534,0.260241,2.613351,1.872150,2.022775,1.844054,1.354460,0e0,0e0
44,4.511111111111112e-4,0.3777,4.497333333333333e-4,0.5675,7.626666666666667e-5,2.9253,8.764444444444444e-5,2.7233,8.435555555555555e-5,3.0726,1.001333333333333e-4,1.4718,0e0,0e0,0e0,0e0,8.217777777777778e-5,1.3760,4.55,6.48,7.88,4.66,0.207777,0.323978,2.245689,2.009095,2.130088,1.968625,1.357224,0e0,0e0
46,4.488444444444445e-4,0.4390,4.453333333333333e-4,0.5099,7.057777777777777e-5,2.9395,8.088888888888889e-5,3.5607,7.999999999999999e-5,2.3573,9.564444444444444e-5,3.4618,0e0,0e0,0e0,0e0,7.982222222222223e-5,2.2032,4.55,6.48,7.88,4.66,0.216305,0.378000,2.556768,2.396918,2.548400,2.318706,2.893838,0e0,0e0
