# commit: cff5bb5 (dirty)
# N: 1000000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T02:03:01Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,4.998866111111112e-1,1.9469,4.997922777777778e-1,1.9459,4.998077222222222e-1,1.9567,4.998071111111111e-1,1.9559,4.997996111111112e-1,1.9558,4.997983888888888e-1,1.9536,3.902657479321342e-2,4.328604374675399e-2,1.202606453284343e-6,8.107659830008234e-6,4.998016111111112e-1,1.9563,4.53,6.51,7.83,4.56,0.001486,0.002653,0.000358,0.000350,0.000539,0.000432,0.000486,2.646164278952351e-3,2.2646510317943847e-3
2,2.545830555555556e-1,2.4224,2.546285000000000e-1,2.4228,2.536781666666666e-1,2.4368,2.537500000000000e-1,2.4354,2.537615555555556e-1,2.4347,2.539520555555556e-1,2.4301,7.72076859188259e-2,7.3154421109934194e-3,2.377019779692507e-6,1.3691299598395228e-6,2.537102222222222e-1,2.4357,4.53,6.51,7.83,4.56,0.001123,0.002618,0.000635,0.000857,0.000737,0.000766,0.000840,4.045318965183325e-3,1.5556183097722319e-3
3,1.321224444444444e-1,3.7317,1.320685555555556e-1,3.7379,1.310597777777778e-1,3.7619,1.311597777777778e-1,3.7595,1.312125555555556e-1,3.7567,1.315468333333334e-1,3.7461,1.1871064225542569e-1,5.490504849187293e-3,3.656280328592855e-6,1.027400640301849e-6,1.311366111111111e-1,3.7591,4.53,6.51,7.83,4.56,0.007938,0.004596,0.001347,0.001634,0.001517,0.003362,0.001308,5.5861471784823865e-3,8.66709117418758e-4
4,6.984838888888889e-2,4.9197,6.970916666666667e-2,4.9250,6.887555555555555e-2,4.9742,6.895250000000000e-2,4.9734,6.902177777777777e-2,4.9638,6.932694444444444e-2,4.9525,1.5152139760494615e-1,4.174431980277515e-3,4.666681448691835e-6,7.841961060184331e-7,6.895077777777778e-2,4.9705,4.53,6.51,7.83,4.56,0.012590,0.007600,0.005136,0.003910,0.003035,0.004975,0.004178,6.498149087353676e-3,6.468177943692554e-4
5,3.760627777777777e-2,5.9888,3.753983333333333e-2,5.9910,3.678838888888888e-2,6.0940,3.682383333333333e-2,6.0876,3.692877777777778e-2,6.0770,3.713050000000000e-2,6.0594,1.6815585812545936e-1,3.3527899666100577e-3,5.178622718201775e-6,6.297773837158135e-7,3.684500000000000e-2,6.0932,4.53,6.51,7.83,4.56,0.019434,0.015929,0.009444,0.012719,0.011597,0.009788,0.008334,1.1081816871059778e-2,7.885533563452944e-4
6,2.074288888888889e-2,6.9356,2.069227777777778e-2,6.9268,2.002216666666666e-2,7.1267,2.007072222222222e-2,7.1016,2.013416666666667e-2,7.1078,2.029555555555556e-2,7.0557,1.6397600798923065e-1,3.080749278349014e-3,5.050662639130103e-6,5.758403642874058e-7,2.004738888888889e-2,7.1280,4.53,6.51,7.83,4.56,0.039168,0.027753,0.017668,0.019604,0.016830,0.007869,0.013850,9.497215887155753e-3,7.772969910165731e-4
7,1.170888888888889e-2,7.7322,1.170555555555556e-2,7.7466,1.109183333333333e-2,7.9409,1.114961111111111e-2,7.9440,1.116972222222222e-2,7.9255,1.132961111111111e-2,7.8555,1.443523445077735e-1,1.8636960362127769e-3,4.4459746358824905e-6,3.477679328086605e-7,1.110650000000000e-2,7.9533,4.53,6.51,7.83,4.56,0.048152,0.059620,0.050798,0.019280,0.041053,0.031125,0.033060,9.411100651299707e-3,7.937808565512836e-4
8,6.820944444444445e-3,8.2855,6.790222222222223e-3,8.3449,6.389222222222221e-3,8.5050,6.401833333333333e-3,8.5259,6.439166666666666e-3,8.4675,6.556555555555556e-3,8.4454,1.2551696451633146e-1,1.7016341161470308e-3,3.865273903586243e-6,3.1779534674915035e-7,6.385888888888889e-3,8.5166,4.53,6.51,7.83,4.56,0.065952,0.078994,0.065449,0.054492,0.053403,0.026227,0.081975,5.571556891060512e-3,6.459782505576848e-4
9,4.133888888888888e-3,8.5884,4.101944444444445e-3,8.6477,3.809500000000000e-3,8.9124,3.819277777777778e-3,8.8675,3.854333333333334e-3,8.8821,3.920388888888889e-3,8.8379,1.0526594887946011e-1,1.627116723520186e-3,3.2429028730539243e-6,3.028744976631643e-7,3.808944444444445e-3,8.9082,4.53,6.51,7.83,4.56,0.113691,0.084880,0.103295,0.054285,0.083443,0.052763,0.074352,6.816839111825073e-3,7.031838008241299e-4
10,2.616333333333333e-3,8.6349,2.587388888888889e-3,8.7127,2.363722222222222e-3,9.0669,2.380277777777778e-3,8.9944,2.390277777777778e-3,8.9986,2.445888888888889e-3,8.9850,8.702741505024739e-2,9.360620705938709e-4,2.679906050684036e-6,1.7541688624563413e-7,2.363611111111111e-3,9.0802,4.53,6.51,7.83,4.56,0.229648,0.125046,0.126798,0.118579,0.123800,0.122112,0.179072,7.241113574445255e-3,3.5823510880611314e-4
