step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu
2,2.979125248508946e-1,2.5956,2.640159045725646e-1,3.7664,2.647058823529412e-1,3.6578,2.580000000000000e-1,3.7639,2.500000000000000e-1,3.8868,2.430000000000000e-1,3.9412,0e0,0e0
4,1.211729622266402e-1,2.5268,7.157057654075547e-2,4.7450,7.450980392156863e-2,4.9299,7.000000000000001e-2,5.0616,6.500000000000000e-2,5.3823,6.200000000000000e-2,5.3306,0e0,0e0
6,7.435387673956262e-2,1.7879,1.948310139165010e-2,7.3690,1.764705882352941e-2,9.3259,1.600000000000000e-2,9.0886,1.300000000000000e-2,10.0447,1.300000000000000e-2,8.7385,0e0,0e0
8,6.520874751491054e-2,0.6784,5.566600397614314e-3,8.0624,2.941176470588235e-3,254.6480,3.000000000000000e-3,254.2644,2.000000000000000e-3,253.4514,3.000000000000000e-3,10.0424,0e0,0e0
10,6.252485089463221e-2,0.2625,2.485089463220676e-3,8.0276,0.000000000000000e0,5.4190,0.000000000000000e0,5.4190,0.000000000000000e0,310.0782,1.000000000000000e-3,312.0782,0e0,0e0
12,6.182902584493042e-2,0.0953,1.093439363817097e-3,8.4828,9.803921568627451e-4,-0.0000,1.000000000000000e-3,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,369.5389,0e0,0e0
14,6.153081510934394e-2,0.0449,5.964214711729623e-4,4.2139,0.000000000000000e0,432.0742,0.000000000000000e0,432.2118,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
16,6.143141153081511e-2,0.0129,5.964214711729623e-4,-2.2894,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-494.7571,0e0,0e0
18,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-4.5784,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0e0,0e0
20,6.143141153081511e-2,-0.0000,9.940357852882703e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,619.6201,0e0,0e0
22,6.143141153081511e-2,-0.0000,7.952286282306163e-4,5.6036,0.000000000000000e0,-681.7624,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
24,6.143141153081511e-2,-0.0000,5.964214711729623e-4,3.4442,9.803921568627451e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
