step,P_vac,dS_vac,P_def,dS_def,P_loc_vac,dS_loc_vac,P_loc_def,dS_loc_def
2,2.506000e-1,3.8523,2.486600e-1,4.0161,2.507000e-1,3.9878,2.508600e-1,4.0173
4,6.594000e-2,4.8125,6.182000e-2,5.0807,6.294000e-2,4.9445,6.234000e-2,4.9479
6,1.782000e-2,7.6208,1.526000e-2,8.1250,1.658000e-2,7.5360,1.656000e-2,7.6361
8,4.700000e-3,10.1313,3.700000e-3,9.1350,4.620000e-3,10.4817,4.420000e-3,11.0691
10,1.340000e-3,10.1532,1.480000e-3,8.0739,1.140000e-3,12.5882,9.800000e-4,12.9509
12,6.000000e-4,10.2225,7.200000e-4,7.4868,3.600000e-4,15.7918,3.200000e-4,8.3627
14,2.400000e-4,8.3702,4.200000e-4,6.5660,8.000000e-5,15.2754,2.400000e-4,5.7472
16,1.800000e-4,2.2894,2.800000e-4,3.2268,4.000000e-5,11.0323,1.400000e-4,14.2591
18,1.800000e-4,1.0557,2.800000e-4,-0.0000,2.000000e-5,-0.0000,4.000000e-5,7.5942
20,1.600000e-4,1.1739,2.800000e-4,0.7386,4.000000e-5,-10.9494,6.000000e-5,587.5389
22,1.600000e-4,-0.0000,2.600000e-4,-0.0000,6.000000e-5,-10.0514,0.000000e0,-0.0000
24,1.600000e-4,-2.6715,2.800000e-4,-0.8872,1.000000e-4,-8.2985,6.000000e-5,-705.7705
26,2.000000e-4,-4.1317,2.800000e-4,-0.0000,1.200000e-4,6.6276,4.000000e-5,14.2537
28,2.200000e-4,1.4725,2.800000e-4,1.0357,6.000000e-5,2.5482,2.000000e-5,-5.6668
30,1.800000e-4,4.7697,2.600000e-4,-0.0000,1.000000e-4,6.0730,6.000000e-5,-0.0000
32,1.600000e-4,1.8821,2.800000e-4,-4.2866,4.000000e-5,25.7174,2.000000e-5,17.5549
34,1.600000e-4,-0.0000,3.400000e-4,-1.1715,2.000000e-5,-6.8849,2.000000e-5,-0.0000
36,1.600000e-4,-4.0124,3.000000e-4,3.4912,6.000000e-5,-19.7547,2.000000e-5,-0.0000
